name,skills,powerscale,description,age,dclass_id,characteristics_id,universe_id
Ichigo 0,"Soul reaper powers, bankai, hollow form",344931,A powerful warrior from another universe.,3427,1350,8737,470
Ichigo 1,"Soul reaper powers, bankai, hollow form",459912,A powerful warrior from another universe.,,672,752,161
Leafa 2,"Stand power, time stop, vampirism",983202,A powerful warrior from another universe.,,936,5190,176
Captain America 3,"Stand power, time stop, vampirism",854211,A powerful warrior from another universe.,4604,3737,2025,246
Superman 4,"Soul reaper powers, bankai, hollow form",339519,A powerful warrior from another universe.,5064,1319,7456,118
Subaru 5,"Super strength, flight, laser vision",154337,A powerful warrior from another universe.,,3899,8032,126
Asuna 6,None,640684,A powerful warrior from another universe.,8211,888,9278,60
Inosuke 7,"Titan shifter, 3D maneuver gear",467204,A powerful warrior from another universe.,1626,7958,3789,443
Zoro 8,"Firearms, explosives, tactical genius",270893,A powerful warrior from another universe.,,2218,9432,142
Darkness 9,"Haki, devil fruit, conqueror haki",180566,A powerful warrior from another universe.,9428,9984,5344,410
Zenitsu 10,"Super strength, flight, laser vision",94069,A powerful warrior from another universe.,,9087,7845,414
Tanjiro 11,"Soul reaper powers, bankai, hollow form",919556,A powerful warrior from another universe.,7799,7009,3320,194
Madara 12,"Slime abilities, unlimited shapeshifting",982091,A powerful warrior from another universe.,4058,8800,2354,5
Hawks 13,"Combat knife, martial arts, stealth",734151,A powerful warrior from another universe.,,6156,771,81
Kakashi 14,"Breathing techniques, demon slayer mark",338883,A powerful warrior from another universe.,,6424,8162,62
Yui 15,"Dark magic, undead army, time stop",27084,A powerful warrior from another universe.,8820,3342,263,180
Gintoki 16,"Sharingan, Rinnegan, Susanoo, genjutsu",750224,A powerful warrior from another universe.,,3927,3495,100
Asuna 17,"Stand power, time stop, vampirism",513981,A powerful warrior from another universe.,,2783,4398,337
Agil 18,"Sharingan, Rinnegan, Susanoo, genjutsu",650616,A powerful warrior from another universe.,,9583,1938,295
Rimuru 19,"Firearms, explosives, tactical genius",542741,A powerful warrior from another universe.,2478,8261,8356,111
Asuna 20,"Firearms, explosives, tactical genius",315470,A powerful warrior from another universe.,,3095,4926,106
Dio 21,"Sharingan, Rinnegan, Susanoo, genjutsu",153354,A powerful warrior from another universe.,,6295,430,38
Goku 22,"Breathing techniques, demon slayer mark",543898,A powerful warrior from another universe.,9239,4787,8948,139
Itachi 23,"Titan shifter, 3D maneuver gear",812850,A powerful warrior from another universe.,1585,1931,7970,353
Gintoki 24,None,359617,A powerful warrior from another universe.,,4931,1949,428
Gintoki 25,"Combat knife, martial arts, stealth",636107,A powerful warrior from another universe.,1566,5107,4317,139
Endeavor 26,"Super strength, flight, laser vision",429180,A powerful warrior from another universe.,7993,4425,7279,103
Levi 27,"Combat knife, martial arts, stealth",177128,A powerful warrior from another universe.,,1851,4843,234
Rimuru 28,"Dark magic, undead army, time stop",775621,A powerful warrior from another universe.,4064,2639,6959,302
Saitama 29,"Quirk: One for All, 100% Detroit Smash",204797,A powerful warrior from another universe.,,7375,2552,407
Spider Man 30,"Haki, devil fruit, conqueror haki",470855,A powerful warrior from another universe.,8485,1117,7548,40
Inosuke 31,"Super strength, flight, laser vision",949271,A powerful warrior from another universe.,2974,2306,6932,378
Leafa 32,"Titan shifter, 3D maneuver gear",512781,A powerful warrior from another universe.,456,3959,7868,219
Sasuke 33,"Quirk: One for All, 100% Detroit Smash",265889,A powerful warrior from another universe.,2989,4165,1964,45
Sinon 34,"Stand power, time stop, vampirism",711862,A powerful warrior from another universe.,795,8697,477,145
Levi 35,"Dark magic, undead army, time stop",120958,A powerful warrior from another universe.,,1938,6145,351
Saitama 36,"Firearms, explosives, tactical genius",357265,A powerful warrior from another universe.,,8137,6804,466
Naruto 37,"Ki manipulation, instant transmission, ultra instinct",565386,A powerful warrior from another universe.,4401,7239,3266,126
Kazuma 38,"Haki, devil fruit, conqueror haki",619071,A powerful warrior from another universe.,5570,1865,5820,415
Saitama 39,"Stand power, time stop, vampirism",478400,A powerful warrior from another universe.,8501,6450,4447,344
Todoroki 40,"Ki manipulation, instant transmission, ultra instinct",379809,A powerful warrior from another universe.,7702,2250,8226,154
Ainz 41,"Haki, devil fruit, conqueror haki",282432,A powerful warrior from another universe.,1330,287,8959,213
Superman 42,"Speed force, time travel, infinite mass punch",809568,A powerful warrior from another universe.,,4844,5491,330
