speed,strenght,iq,battleiq
792390,655048,173,274
244787,164905,199,37
15672,892496,103,56
167067,632914,136,23
791136,96293,95,123
546237,259365,126,294
172428,796165,95,197
62849,860,45,134
594054,116116,225,240
931283,757973,115,179
149597,499777,74,192
28785,719887,85,281
460037,163536,271,0
425238,101929,192,180
551666,55551,59,165
653733,495224,127,118
760713,508863,125,234
607950,458028,112,255
950380,702840,279,237
656805,943112,113,216
289599,908225,20,13
823386,807377,202,16
395775,962330,32,3
711748,523302,280,130
348757,860054,197,62
84230,290168,247,58
214204,446395,121,133
399040,203263,96,224
287264,125849,144,29
677268,388227,17,27
835007,135846,81,261
631913,873260,299,48
780216,959293,202,201
281566,77657,298,97
875857,189497,172,193
271095,387490,161,18
409854,140403,178,169
315059,778956,186,134
200046,978708,52,121
292479,742792,16,165
73792,295389,128,14
549483,724819,262,263
46331,338649,124,275
497500,665041,66,106
163205,158223,174,298
434472,495650,16,165
568607,857637,24,20
337954,94187,184,196
429077,314575,207,88
98335,261462,189,137
782082,838924,180,293
21325,195215,138,243
850521,31825,123,218
2839,230372,147,97
66040,66186,245,142
715347,733279,235,256
606680,774745,9,221
651031,817522,59,269
505900,243694,137,279
540274,759277,55,7
926722,149498,117,73
189105,628418,25,75
658984,215871,239,299
110784,227680,56,66
206546,280712,87,255
915671,978349,94,140
331955,921601,262,288
86102,816245,2,260
284708,55316,34,60
333315,43474,60,111
995655,301401,118,293
5743,408409,88,223
112385,456882,168,109
899856,305529,134,171
873358,278066,267,73
197101,610660,200,228
644880,883905,84,22
165010,844130,60,13
62843,202297,258,212
637028,604493,272,137
597363,871797,267,67
928485,152454,89,42
946052,893895,290,295
802609,921376,223,132
252443,420363,203,34
962983,523949,76,224
751948,836368,219,125
664425,249432,26,85
52426,161617,17,161
937904,548863,86,262
154576,333337,203,35
710001,120858,262,297
471392,471383,32,175
758565,576684,228,178
183271,813860,253,257
284746,383357,141,182
450533,439701,28,230
587044,798707,195,258
81846,648887,136,256
658840,743729,277,119
706856,914389,255,77
46206,691983,59,145
703784,682881,40,92
792170,162227,222,268
776938,191669,175,102
259497,646456,46,275
107242,438284,95,105
65097,842290,156,99
24066,328900,243,275
873802,74212,147,109
294435,650047,257,74
465570,449030,168,125
641964,405930,214,198
792611,932627,277,33
800561,564515,211,51
317580,535389,82,254
231768,841932,18,169
990448,840949,136,136
585770,455375,95,116
366920,287138,265,119
456793,778081,61,78
345776,759579,134,30
72572,72132,230,196
835567,730189,88,266
665813,985850,42,249
189859,577039,198,19
107709,108427,136,133
61187,925948,19,228
32935,194940,145,128
983870,485825,0,33
81561,453839,57,265
658259,794134,278,118
681864,26705,111,22
576513,269258,66,109
817840,781801,86,99
191903,604284,94,156
366777,241040,219,17
172104,614627,3,261
645243,139589,80,104
897697,492125,168,228
143853,463136,209,52
559155,492963,78,202
726013,697192,162,17
473078,321075,206,213
961561,300552,46,30
310916,384128,135,61
592963,596021,100,15
609546,930172,187,15
894392,59660,112,3
916209,935613,123,53
640373,771850,241,179
526064,686492,283,272
788505,576881,294,152
977485,97101,118,97
671392,504468,105,224
280978,215942,21,199
75784,346398,262,280
770817,62275,9,275
116910,160578,11,71
843802,713305,189,127
939476,168450,290,66
114431,465358,176,106
760608,289096,232,51
431957,138885,73,6
921215,119069,38,185
765772,943117,0,164
987338,305882,176,219
261767,579961,127,238
302911,61499,25,213
826531,200860,142,10
