durability,undying_id
5390544,9840
4616777,449
5795810,9793
9034055,193
8464756,5672
3696692,5637
8066039,8551
9661220,972
5945367,3699
486112,9792
6765350,9237
6407425,909
9335864,4885
2013246,9442
517958,9995
2886129,7746
4884858,6671
9236565,8624
7510050,1006
1937971,1696
6648069,8278
2955782,9397
1552618,6319
2775024,1654
8268630,2670
5941698,9249
4695651,9464
2279091,1658
4446018,3792
1383133,5517
1160374,4648
7510561,7551
2843539,891
1026469,1498
6683567,3674
3252309,3021
3579809,1893
7907884,7043
5333491,7460
3327189,8628
2284918,539
3562134,9705
126754,1825
4281972,6477
1835278,8177
5821628,4104
7813847,5781
5408322,3873
3866121,7137
750163,4075
4599135,6045
7310350,519
7773395,9208
1953058,9637
8645069,3496
8105138,2774
7948240,1901
2129817,548
6700080,7182
7443006,9061
7660248,1240
1393493,3636
8860649,8113
3548448,5530
9999052,9862
1235377,9502
4099454,922
6458592,2760
4879534,3978
6199656,4189
4780126,2213
2745136,664
4413692,5102
2608213,3764
170285,2036
1708742,2509
3575572,1324
1291212,3047
5598956,7159
5315362,2471
5677795,4832
1557291,5782
1959285,891
4166055,9947
9394904,7899
4328706,844
6681208,1639
8173459,6997
4561495,37
2141742,7035
9842206,8116
1640620,7466
317353,7903
7445830,4975
3721526,5536
5680671,8572
2785563,9851
1986357,8164
6743473,5706
6114999,1795
7477203,6484
5365216,664
1549617,9035
8377578,2052
5349556,9960
7743616,3166
4397024,4569
4488346,4164
140900,9968
9377040,8561
1401017,5367
9257916,9863
8658157,7884
1164017,1222
4653203,2587
4963726,8874
7714239,4543
1222225,1393
9682868,2527
1365991,8547
7448249,8760
4932567,1478
1450296,585
8405372,6960
178141,276
9020431,2357
6383715,982
5420005,6702
6377018,7354
7898206,7058
6575534,2272
5033344,89
369057,5130
3968060,2376
3663268,7763
6555893,5601
7663867,2777
5360950,2841
3342743,7379
2189753,3933
270488,5031
414138,4957
6442096,8976
3000120,8378
1773001,1639
1790817,9987
8807152,7145
4709002,5488
8198483,3898
9420132,715
1807866,3446
4791198,3880
9470777,3860
760980,3055
5159452,6896
2660958,3908
7223399,8516
6382564,7686
7494409,6932
4479695,6021
3677161,3331
9068070,9114
7919939,4104
2407097,5115
6946616,620
4230235,6207
3367600,8288
5670221,1982
3979580,218
439702,6050
3196790,5675
180700,3719
9257643,3690
1094296,9126
8636134,7090
6566159,3619
9216400,6848
1512992,7254
5311620,9319
7923310,4055
8224608,162
3086850,6469
5211087,3577
7591962,5103
871556,3674
7906071,7125
9675650,6564
7799897,7380
8325498,135
9724121,6930
9316466,991
4932058,3761
530285,5027
4581888,1657
7829490,8346
8472697,1524
4566397,7351
9098070,3765
790146,9025
9378192,8291
3343317,4360
7473829,2366
8056734,726
1801090,7373
1257680,5822
4827694,2968
8063096,5678
3230915,7692
8019935,2054
5869878,6058
7752168,5050
2909848,6625
2282438,6210
18972,7266
7102109,6845
1407240,6474
6750939,4657
7708781,8580
932232,3549
6830290,9375
6218791,6772
5640274,2879
6438274,2149
3353353,5537
8606208,8422
5409861,1448
8584333,6061
4960684,3344
3749285,2848
6270592,9668
7969190,2344
3843178,2315
2805969,3357
3664528,9264
254495,7501
1858033,4848
9540188,6307
9625899,7439
9121817,2167
5057753,602
8929790,9611
4212060,2325
8123960,3766
3956758,6378
8520156,4652
5481448,8058
7242998,8274
6004594,4069
817060,3349
5763155,4072
803320,9672
6026017,1671
9025219,9630
3570962,9124
3937745,4191
4869733,7331
7153224,3038
8722091,7668
5056459,3639
2243189,8275
4546375,7331
9472700,833
2523368,1520
8885961,6313
6526972,1976
7282597,1203
554584,4579
1664702,54
348706,1003
5966702,5271
4229701,7662
229006,6130
5817212,6620
6992380,6404
6946683,8507
6694089,3813
8951323,9999
7475127,9244
