character1_id,character2_id,user_id,fightexodus
4368,3225,388,Win Char2
8257,2710,754,Draw
3103,7973,5154,Draw
201,1029,8016,Win Char2
2283,194,5915,Win Char2
2779,7916,9664,Win Char1
4987,6049,733,Win Char2
1190,818,7704,Draw
9783,3958,3785,Win Char1
7318,1005,9867,Draw
1044,2401,2111,Draw
8658,597,5224,Draw
2649,2799,1537,Draw
3624,79,64,Win Char2
9802,9289,9861,Draw
5196,9660,3284,Win Char1
6790,3530,6931,Win Char1
7651,789,4983,Win Char1
5147,807,4655,Win Char1
3600,1316,3920,Win Char1
3099,6415,4338,Win Char2
9355,7941,5525,Draw
5944,4747,3191,Win Char2
9039,2504,5132,Win Char1
1047,1897,5504,Draw
7593,1596,5051,Win Char1
8133,8297,7209,Win Char1
4961,2851,5117,Win Char1
1736,8232,4674,Win Char2
854,8909,1904,Win Char2
9551,6056,1117,Draw
8482,1155,2755,Draw
56,398,1645,Win Char1
2851,8702,9227,Draw
8574,6876,6513,Win Char1
9632,8616,9162,Win Char1
3928,8080,5078,Win Char2
1010,3675,4078,Draw
6354,9736,8672,Win Char2
9184,1446,9665,Win Char1
4176,8824,2999,Win Char2
1924,332,1560,Win Char2
1939,3355,2532,Win Char1
5450,1562,2882,Win Char2
9492,5580,9649,Win Char1
2298,1353,9103,Draw
7194,1060,3501,Draw
8124,9368,1727,Win Char1
1084,4240,7751,Win Char1
3225,1442,9045,Draw
7189,7823,6867,Draw
44,722,1726,Win Char1
3333,457,6205,Win Char2
8834,2251,8328,Draw
34,4152,2911,Win Char2
2807,7620,6183,Win Char2
5036,1185,1185,Win Char2
3774,7750,7317,Win Char2
6763,5431,3983,Win Char1
9006,7778,4006,Win Char2
6294,9370,4387,Win Char2
4412,2578,912,Win Char1
7030,1169,6105,Win Char2
2102,8692,1846,Win Char2
2633,5363,4871,Win Char1
9109,5936,3838,Win Char2
3774,42,2635,Draw
4586,7341,5058,Win Char1
7359,4537,152,Win Char1
8538,8159,6372,Draw
4301,4406,8431,Draw
3826,9902,4489,Win Char1
8257,466,8568,Win Char2
7681,1196,4642,Draw
7107,9208,813,Win Char1
2493,9587,3226,Win Char1
5981,9928,9716,Win Char1
4517,1557,5732,Draw
2216,9020,3814,Win Char1
6411,1213,2985,Win Char2
1788,1525,1557,Win Char1
9437,9545,9676,Win Char2
699,1400,2278,Win Char2
5345,9619,5724,Win Char2
5190,9032,9863,Draw
4812,4125,2191,Win Char1
2775,3180,1287,Win Char2
3743,9647,2273,Win Char2
9256,2551,5183,Win Char2
6296,3529,842,Win Char2
1069,2369,1989,Win Char1
6437,5087,1644,Draw
2192,7273,8109,Draw
6479,61,5018,Win Char2
1878,8953,3414,Draw
8845,3225,4253,Win Char1
9347,6359,9329,Draw
8379,1406,7159,Win Char2
1024,3097,4064,Draw
1215,1025,1340,Win Char1
5058,1227,1345,Draw
5388,7419,8338,Win Char2
4873,5901,4830,Win Char2
3095,186,9128,Draw
4910,5365,6567,Win Char1
3686,516,7733,Win Char2
5126,4325,3649,Draw
213,8978,6687,Draw
1262,5369,8644,Win Char2
4204,2497,1486,Draw
3604,6045,4291,Win Char1
5267,8453,1954,Win Char1
6497,9001,8338,Draw
4454,8341,9891,Win Char1
5418,3036,4777,Draw
5654,6166,7263,Draw
2973,4441,7897,Win Char1
3289,2269,4243,Win Char1
9825,9853,2808,Draw
5149,3574,1734,Win Char1
9635,1384,5338,Win Char2
3775,8400,4233,Win Char1
3469,5631,2074,Draw
7548,2822,7327,Win Char2
5117,4327,9111,Draw
5363,3486,7261,Win Char2
1361,2051,1910,Draw
702,4199,211,Win Char1
8413,5682,3219,Win Char2
9048,6183,7102,Win Char2
8783,3665,6060,Win Char1
7727,6373,4380,Win Char2
8891,1700,919,Win Char2
2674,9535,3975,Win Char2
3084,4304,9413,Draw
6343,9665,9206,Draw
8997,6582,254,Win Char2
7711,9141,8039,Draw
6107,1377,2875,Win Char1
3087,4712,4255,Win Char2
9875,9074,4385,Draw
442,4162,8582,Win Char1
3237,1050,5489,Win Char2
3134,5447,7069,Draw
2092,5716,8882,Win Char2
8711,5207,2820,Win Char2
988,7328,1625,Draw
254,9547,9882,Win Char2
8246,1001,138,Win Char1
4132,8252,1921,Win Char1
230,961,7152,Win Char2
7973,5001,5144,Win Char2
5147,7595,2312,Win Char1
1921,1078,1489,Draw
2339,9684,3523,Draw
2015,2433,215,Win Char2
7060,7319,8826,Draw
2279,2184,1083,Win Char2
7365,1620,6140,Win Char1
9470,9963,8150,Draw
2340,3976,551,Win Char2
3918,6454,7407,Win Char2
1058,7976,7194,Win Char2
5080,782,6228,Draw
2916,5315,6168,Win Char1
8726,9201,1809,Win Char2
7160,5850,1356,Win Char1
7921,4499,8184,Draw
839,2507,9565,Win Char2
8092,9536,4045,Win Char2
7207,7727,224,Win Char1
2119,7168,3928,Win Char2
5026,1719,2700,Draw
3722,3587,5340,Win Char1
2844,3959,2940,Win Char1
346,3216,7119,Draw
3332,1065,6496,Win Char1
9390,3738,3073,Draw
8,805,5883,Win Char2
7676,2461,9847,Win Char1
4104,1760,7450,Win Char2
2745,2880,9329,Win Char2
6627,4694,2463,Draw
1455,5565,5664,Draw
5345,7872,2641,Draw
3063,1069,9865,Win Char2
854,8701,125,Draw
4143,9119,4084,Draw
2806,9985,2535,Win Char1
2520,9842,8138,Win Char2
6273,4248,9869,Draw
6745,8580,3330,Win Char2
8259,4224,4268,Win Char1
7393,9039,1295,Win Char1
7028,2130,5348,Win Char1
9914,9059,2301,Draw
8779,2380,3331,Draw
5669,4600,2127,Draw
6184,5727,8092,Draw
5251,2635,4319,Win Char1
1920,1872,3313,Win Char2
6575,3852,8576,Win Char1
6548,796,3485,Win Char2
6650,3028,5432,Win Char1
2596,877,6125,Draw
1214,2638,6335,Win Char1
1177,911,1745,Win Char1
4817,7061,8155,Win Char2
9303,8827,6418,Draw
7199,6938,111,Win Char1
6897,2822,4146,Win Char2
5252,5882,8768,Win Char1
9912,8383,3957,Win Char1
8523,196,6275,Draw
4030,641,2154,Win Char2
706,7102,7345,Draw
8106,4856,7663,Win Char2
8500,2318,478,Draw
5826,1033,5758,Win Char2
8343,4787,9921,Draw
6216,2160,7873,Win Char1
516,7296,6164,Win Char2
2830,2162,1000,Draw
1961,4184,4213,Win Char2
6167,4758,8339,Draw
4074,9280,4331,Win Char2
3349,2907,9447,Win Char1
729,4560,9750,Win Char2
6024,1847,9627,Win Char2
3155,7386,9507,Win Char2
6884,7691,9613,Win Char1
9571,2494,6200,Draw
5977,7174,4388,Win Char1
2951,8186,601,Draw
395,7145,5698,Win Char1
8509,8650,7373,Win Char2
21,5718,3758,Win Char1
3056,7284,9276,Draw
1407,528,9336,Draw
2701,8383,8929,Draw
8469,5607,4736,Draw
9835,2293,6267,Win Char1
3626,8787,5242,Win Char1
2824,2794,5084,Win Char2
3640,3778,1752,Win Char2
2424,9526,4046,Win Char2
7864,5147,3214,Win Char1
3552,556,83,Win Char1
6191,2991,3205,Draw
