name,type,description
JJBA_Alt0,Game,A ninja world with chakra and jutsu.
Harry Potter_Alt1,Anime,A world of demon slayers and breathing techniques.
Sword Art Online_Alt2,Serial,A world of demon slayers and breathing techniques.
Fate_Alt3,Serial,A dark and gritty world of crime and power.
Cyberpunk_Alt4,Movie,A world where stands rule everything.
JJBA_Alt5,Manga,A post-apocalyptic world with titans.
DC_Alt6,Game,A world of soul reapers and hollows.
Marvel_Alt7,Game,A ninja world with chakra and jutsu.
Street Fighter_Alt8,Movie,A world of demon slayers and breathing techniques.
Hellsing_Alt9,Book,A ninja world with chakra and jutsu.
Street Fighter_Alt10,Manga,A world of pirates and devil fruits.
Street Fighter_Alt11,Book,A dark and gritty world of crime and power.
Sword Art Online_Alt12,Movie,A world of soul reapers and hollows.
Gurren Lagann_Alt13,Comics,A world where stands rule everything.
Overlord_Alt14,Serial,A post-apocalyptic world with titans.
My Hero Academia_Alt15,Comics,A post-apocalyptic world with titans.
Harry Potter_Alt16,Anime,A universe with Saiyans and ki battles.
One Piece_Alt17,Movie,A world of pirates and devil fruits.
Halo_Alt18,Manga,A dark and gritty world of crime and power.
Street Fighter_Alt19,Serial,A post-apocalyptic world with titans.
Trigun_Alt20,Anime,A virtual reality gaming universe.
Lord of the Rings_Alt21,Comics,A world where stands rule everything.
Konosuba_Alt22,Anime,A universe full of superheroes and villains.
Guilty Gear_Alt23,Serial,A ninja world with chakra and jutsu.
Gurren Lagann_Alt24,Anime,A world of soul reapers and hollows.
Harry Potter_Alt25,IRL,A dark and gritty world of crime and power.
Diablo_Alt26,IRL,A world where stands rule everything.
That Time I Got Reincarnated_Alt27,Anime,A world of soul reapers and hollows.
One Piece_Alt28,Game,A virtual reality gaming universe.
BlazBlue_Alt29,Comics,A ninja world with chakra and jutsu.
My Hero Academia_Alt30,Game,A universe full of superheroes and villains.
Overlord_Alt31,IRL,A hero society with quirks.
Harry Potter_Alt32,Book,A universe full of superheroes and villains.
Trigun_Alt33,IRL,A world where stands rule everything.
Guilty Gear_Alt34,IRL,A world where stands rule everything.
Breaking Bad_Alt35,IRL,A world of pirates and devil fruits.
Cowboy Bebop_Alt36,Manga,A world where stands rule everything.
Dark Souls_Alt37,Movie,A universe with Saiyans and ki battles.
Fullmetal Alchemist_Alt38,IRL,A ninja world with chakra and jutsu.
The Witcher_Alt39,Book,A dark and gritty world of crime and power.
My Hero Academia_Alt40,Book,A ninja world with chakra and jutsu.
Halo_Alt41,Serial,A post-apocalyptic world with titans.
Overlord_Alt42,Manga,A world of pirates and devil fruits.
My Hero Academia_Alt43,Anime,A world of soul reapers and hollows.
Demon Slayer_Alt44,Book,A virtual reality gaming universe.
Hellsing_Alt45,Game,A ninja world with chakra and jutsu.
Evangelion_Alt46,Anime,A world of pirates and devil fruits.
Hellsing_Alt47,Manga,A dark and gritty world of crime and power.
Diablo_Alt48,Book,A world of soul reapers and hollows.
Marvel_Alt49,IRL,A dark and gritty world of crime and power.
DC_Alt50,Comics,A world of soul reapers and hollows.
Elden Ring_Alt51,Comics,A world where stands rule everything.
Fairy Tail_Alt52,Anime,A virtual reality gaming universe.
That Time I Got Reincarnated_Alt53,Game,A world of pirates and devil fruits.
RE_Alt54,Book,A hero society with quirks.
Diablo_Alt55,Movie,A virtual reality gaming universe.
Dota_Alt56,Anime,A universe full of superheroes and villains.
Cyberpunk_Alt57,IRL,A virtual reality gaming universe.
Harry Potter_Alt58,IRL,A ninja world with chakra and jutsu.
Bleach_Alt59,IRL,A world where stands rule everything.
Cowboy Bebop_Alt60,IRL,A universe with Saiyans and ki battles.
Guilty Gear_Alt61,IRL,A hero society with quirks.
Dota_Alt62,Anime,A world where stands rule everything.
DC_Alt63,Movie,A hero society with quirks.
Gurren Lagann_Alt64,Comics,A ninja world with chakra and jutsu.
The Witcher_Alt65,Comics,A world of pirates and devil fruits.
Konosuba_Alt66,Serial,A post-apocalyptic world with titans.
Fairy Tail_Alt67,IRL,A world of soul reapers and hollows.
One Piece_Alt68,Serial,A dark and gritty world of crime and power.
Elder Scrolls_Alt69,Anime,A hero society with quirks.
Overlord_Alt70,Movie,A world where stands rule everything.
Mortal Kombat_Alt71,Anime,A post-apocalyptic world with titans.
DC_Alt72,Book,A universe full of superheroes and villains.
Dark Souls_Alt73,Book,A world of demon slayers and breathing techniques.
Sword Art Online_Alt74,Anime,A world where stands rule everything.
Dark Souls_Alt75,IRL,A universe with Saiyans and ki battles.
Elden Ring_Alt76,Movie,A post-apocalyptic world with titans.
Halo_Alt77,Comics,A world of pirates and devil fruits.
Diablo_Alt78,Game,A virtual reality gaming universe.
Game of Thrones_Alt79,Book,A post-apocalyptic world with titans.
Tekken_Alt80,Book,A world of pirates and devil fruits.
My Hero Academia_Alt81,Anime,A ninja world with chakra and jutsu.
Gurren Lagann_Alt82,Comics,A universe with Saiyans and ki battles.
Guilty Gear_Alt83,IRL,A world of pirates and devil fruits.
Harry Potter_Alt84,Movie,A dark and gritty world of crime and power.
Evangelion_Alt85,Book,A world of pirates and devil fruits.
Street Fighter_Alt86,Movie,A dark and gritty world of crime and power.
DC_Alt87,Serial,A world of demon slayers and breathing techniques.
Elder Scrolls_Alt88,Movie,A virtual reality gaming universe.
The Witcher_Alt89,Comics,A universe full of superheroes and villains.
Tekken_Alt90,Serial,A ninja world with chakra and jutsu.
Bleach_Alt91,Manga,A world of soul reapers and hollows.
Dark Souls_Alt92,Anime,A universe full of superheroes and villains.
Gurren Lagann_Alt93,Anime,A universe with Saiyans and ki battles.
Breaking Bad_Alt94,Serial,A universe with Saiyans and ki battles.
MGS_Alt95,Game,A world of demon slayers and breathing techniques.
My Hero Academia_Alt96,IRL,A post-apocalyptic world with titans.
Warcraft_Alt97,Manga,A world where stands rule everything.
Mass Effect_Alt98,Movie,A ninja world with chakra and jutsu.
Game of Thrones_Alt99,Anime,A virtual reality gaming universe.
DC_Alt100,Manga,A dark and gritty world of crime and power.
JJBA_Alt101,Movie,A world of demon slayers and breathing techniques.
Harry Potter_Alt102,Comics,A world where stands rule everything.
Dark Souls_Alt103,Comics,A world where stands rule everything.
Warcraft_Alt104,IRL,A universe full of superheroes and villains.
Lord of the Rings_Alt105,Serial,A dark and gritty world of crime and power.
BlazBlue_Alt106,IRL,A universe with Saiyans and ki battles.
Breaking Bad_Alt107,Manga,A virtual reality gaming universe.
Guilty Gear_Alt108,Movie,A hero society with quirks.
Cyberpunk_Alt109,Serial,A world of soul reapers and hollows.
Fairy Tail_Alt110,Comics,A world of pirates and devil fruits.
Konosuba_Alt111,Manga,A dark and gritty world of crime and power.
Overlord_Alt112,Game,A post-apocalyptic world with titans.
Mortal Kombat_Alt113,Anime,A world of soul reapers and hollows.
Cowboy Bebop_Alt114,Serial,A world of demon slayers and breathing techniques.
JJBA_Alt115,Manga,A hero society with quirks.
Attack on Titan_Alt116,Serial,A post-apocalyptic world with titans.
Marvel_Alt117,Comics,A world of pirates and devil fruits.
Breaking Bad_Alt118,Anime,A universe with Saiyans and ki battles.
Naruto_Alt119,Book,A world of pirates and devil fruits.
Evangelion_Alt120,Comics,A ninja world with chakra and jutsu.
Hunter x Hunter_Alt121,Game,A world where stands rule everything.
Re Zero_Alt122,Game,A dark and gritty world of crime and power.
RE_Alt123,Manga,A world of soul reapers and hollows.
Marvel_Alt124,Manga,A universe with Saiyans and ki battles.
Lord of the Rings_Alt125,Comics,A universe full of superheroes and villains.
Breaking Bad_Alt126,Book,A universe with Saiyans and ki battles.
Konosuba_Alt127,Game,A post-apocalyptic world with titans.
